uid,features,layers,config/learning_rate,energy_error
0,5,10,0.04329431201708147,3.614982543525379
1,4,10,0.020799641997526264,3.544664822905503
2,5,10,0.022172171333880955,3.475817985468065
3,4,12,0.006622416890982162,16.878746820964437
4,5,10,0.016977997711156816,9.23803236832828
5,5,5,0.017427870002452668,3.674240358124898
6,7,9,0.11994144153967722,22.88367369667987
7,8,7,0.05239387015729502,3.611104918028357
8,6,7,0.06885161341620948,13.978774354551945
9,7,5,0.0838757980016758,24.28211694964416
10,6,9,0.06368166919550661,16.335953671490113
11,2,11,0.10082161374788179,25.525555542654068
12,3,11,0.1060043199216388,27.444755886427966
13,5,5,0.03884933505890714,24.29475255916549
14,5,8,0.030049737089249556,6.365400187969442
15,5,11,0.03892083493794562,3.4340091141385223
16,5,4,0.009955141554281965,13.27172180539483
17,4,6,0.0637492348613354,9.278691231523512
18,2,8,0.10455013250791835,29.44255679446593
19,2,6,0.0674347131416246,9.882562764759715
