uid,features,layers,config/learning_rate,energy_error
0,2,11,0.05403281624698609,8.83527900002166
1,3,9,0.03610686659708427,24.2760170071054
2,4,12,0.10102335641185411,29.8442398608318
3,6,11,0.024103373796186215,8.047414981232606
4,6,5,0.06209598135105372,23.604058745592265
5,7,8,0.0754118493118584,16.22619041642991
6,7,12,0.023993409126310292,8.013786289099603
7,8,5,0.08664140838377146,27.4673408653844
8,6,9,0.022468306653638883,3.4113750952578883
9,4,5,0.02129263319441624,3.4081151421510576
10,8,8,0.08630268293848554,8.470984500121258
11,3,9,0.11096838689768877,22.425701495130067
12,9,7,0.0626583651995649,22.43111345375214
13,8,6,0.027394381405918655,3.426054859522204
14,5,8,0.02531474390849539,6.367028863302853
15,2,9,0.06747113099424486,8.79223163705905
16,5,12,0.02255951445779697,7.978089023103671
17,3,8,0.11612412512229915,39.35628764083668
18,4,10,0.027912154942744367,3.416612950645177
19,6,9,0.07005048606963793,13.665407532847524
20,2,11,0.05092124221423207,8.157856143770836
21,7,4,0.047635729401473585,3.569604308446781
22,9,4,0.08835440955288779,29.84508963604626
23,5,7,0.007694115534234734,15.240768360828213
24,3,10,0.008061838680991064,15.922855264757526
25,7,11,0.07411141562853667,49.03779828908693
26,7,7,0.03715354930870729,3.516898992805636
27,6,10,0.0964489154187593,23.146737668280934
28,8,6,0.0799039451296194,17.842151828753778
29,9,11,0.1077113912166694,10.74552663460943
30,8,6,0.037681879402948856,17.617771280832066
31,8,10,0.05796861769032931,18.29992462160532
32,4,5,0.014676224678373716,9.567740723700108
33,5,12,0.04414297049774213,3.4850283437592857
34,4,4,0.014426618749773417,10.648047490567496
35,5,5,0.01434043815753053,10.432349880798297
36,4,7,0.032698934898937736,3.712519759302271
37,5,12,0.04248982911149879,3.473462160712089
38,3,6,0.015872847804421837,9.123132023555694
39,3,5,0.056400428993504996,22.524709287259466
40,4,12,0.006175738574865065,17.861732339365794
41,2,4,0.021501302374676047,10.09862855867625
42,6,6,0.03190796268329153,3.4718096279750448
43,5,8,0.041132468186291515,3.406774451750909
44,2,7,0.005094365095662613,21.753744225175524
45,4,8,0.019417278723612787,8.875700554250965
46,7,4,0.05244993388519388,8.000341773500171
47,7,5,0.04909173504451223,29.84508963604626
48,6,4,0.06049928877428714,8.43011259598774
49,6,5,0.046370702075049335,19.67382855594962
50,9,4,0.03259152711243245,7.722814586855922
51,8,6,0.08143865134495827,22.738013011833026
52,7,5,0.06520533605287261,21.10602555457523
53,3,4,0.09556548274221591,29.84507638454231
54,4,10,0.02719282190697513,3.5178872723772656
55,3,9,0.010421625117275853,11.44038574890032
56,4,9,0.03070350156171153,4.456793825287882
57,2,10,0.03962169585613747,3.4069829395499944
58,3,11,0.018678728580545395,8.938250229390643
59,5,10,0.010534912801721155,12.258678700802058
60,2,9,0.026247576682079374,7.637886925011514
61,4,11,0.054327234441195374,7.669716489064218
62,3,9,0.03497026857465642,3.402627870743931
63,5,11,0.07055694312178012,25.18302779480756
64,2,7,0.11860613012900002,34.10071231909077
65,4,6,0.029296712772799553,7.911652136158874
66,5,6,0.023119428399792023,7.700979637820126
67,6,8,0.03588601334636998,3.693324457365964
68,6,10,0.010481721851198443,11.85939431868148
69,5,9,0.01654985387955208,9.036536348702274
70,6,8,0.024154304972564655,7.983260337982703
71,5,10,0.043759346896426514,8.546380039966909
72,4,9,0.019017733776788136,8.25636208080574
73,5,11,0.011441626872369385,11.510025140411395
74,4,8,0.0461601355069384,8.5196548463128
75,6,10,0.0276873705344731,3.5100277043171744
76,7,12,0.037779033165195354,22.16313957266721
77,3,7,0.007003639592323002,16.301079386133267
78,4,9,0.021631328653080487,8.039503308672785
79,5,8,0.04964524159312974,4.608578471738589
80,6,11,0.059203852931939735,36.34516114991013
81,4,9,0.03352462309756523,3.65275886836708
82,3,10,0.005069461756078218,19.460600622110874
83,5,7,0.06332525829075221,7.674381017923501
84,6,12,0.01231219834653332,10.743867489346666
85,8,8,0.04071945630707147,7.48683321022617
86,7,9,0.029159535589840628,7.777894100510426
87,4,10,0.017468151081586867,9.149038111352002
88,3,12,0.052771480197827174,22.68970262758621
89,7,11,0.05650588765683136,4.052547523952448
90,5,7,0.09008949521193542,8.34391126469086
91,3,10,0.10679540427704706,10.33319296654062
92,4,9,0.0780198723179093,9.004242545801347
93,2,10,0.03883638802777928,9.665612489072211
94,2,9,0.06787575951831976,11.289054449824278
95,2,8,0.021383724028210586,9.05002548373659
96,2,10,0.03993667247053899,3.4811231507493687
97,3,7,0.04176340447371274,16.520566327711983
98,2,6,0.07205548545427305,8.471907440516034
99,5,8,0.04505992110290709,3.416892751363413
100,2,9,0.036017802210536486,3.460138291203158
101,3,8,0.04820996066217078,8.211326169507476
102,2,9,0.034651046461456995,9.250285041185425
103,3,11,0.05466740409867471,8.40926286429659
104,2,8,0.05174321671878143,3.89953275373718
105,9,7,0.08381767263622579,14.726656989649616
106,3,10,0.06583916154059398,37.76887083536582
107,2,11,0.03089757530906754,7.797739220704162
108,3,8,0.061774828085572935,13.112539392131984
109,2,9,0.04325158290646969,7.956015565808524
110,4,8,0.07668303948299068,45.38131000295952
111,3,7,0.04708110743461903,22.633678540115724
112,2,10,0.02451861297447855,8.93804284665659
113,4,9,0.05090577479720981,6.362829263337634
114,3,12,0.05795992534989296,10.439770205539798
115,8,9,0.07466650356060806,15.691980468451453
116,2,11,0.03358581298017481,7.565553028584674
117,3,7,0.02547976979226435,7.810747203846269
118,6,10,0.06329959810339593,8.120624080790112
119,3,8,0.06875596776310378,9.408085824945855
120,7,9,0.013352365767541508,10.226400639449183
121,5,11,0.03820976547080447,3.874942919428833
122,4,10,0.008841771544193758,12.916781476449485
123,2,6,0.05555473201665219,17.845089636046257
124,5,9,0.02883794431376456,7.791597032588008
125,8,7,0.04888166477698433,28.727353278658104
126,3,8,0.04053786386220877,3.415735158846452
127,6,10,0.07223189280355735,7.694823702793236
128,4,12,0.05962309912180154,8.662711947392928
129,4,9,0.045174950672454826,7.699015977829735
130,2,8,0.01925278539234248,9.235782109240414
131,6,11,0.09352066062511713,16.611784240576053
132,3,7,0.06536111579314137,16.44750736963212
133,2,9,0.04323243089654724,7.014497849400993
134,4,10,0.03633647566794352,14.522457015492932
135,5,8,0.0536572150287844,7.622327985052397
136,2,11,0.03101758891925746,7.783974917635319
137,5,10,0.015831595170939548,9.521898743313194
138,9,8,0.02290421267665205,7.80540510463161
139,7,6,0.11221292717429829,22.86386278405182
140,3,7,0.08033151696940309,25.96365274083885
141,4,12,0.02756539461061471,7.650279891444409
142,3,9,0.041048306260668466,8.70917743443895
143,2,9,0.03489986731081333,3.456632079719956
144,5,5,0.09998442628849755,16.473459987286702
145,4,6,0.032163869432766855,7.407723926357214
146,4,5,0.017588088194503228,9.071211406536785
147,3,8,0.021564022987820026,8.740260185777458
148,4,4,0.026054074621184906,7.794612683504081
149,5,10,0.014129198952437723,9.836353850609182
