uid,features,layers,config/learning_rate,energy_error
0,10,2,0.07000231027083588,17.0940721747618
1,9,3,0.11651440327950455,20.28084455895138
2,2,3,0.017614107024949126,3.9976020111986976
3,5,4,0.10675610691722032,27.42025502787298
4,3,6,0.11033070367948201,27.031909339703404
5,8,5,0.03214219563685882,3.755378177990941
6,9,3,0.08175348220472912,24.30716264361658
7,5,3,0.05617694206274047,24.99035489649207
8,8,3,0.11624045086639354,32.27448087725158
9,4,6,0.010336705883142554,13.26868990067807
10,2,5,0.026867571326312,3.420577651165132
11,2,4,0.024863558074477998,3.435032322275198
12,8,5,0.011976016204895894,11.07260971590604
13,4,2,0.10312873833472812,29.16892377363366
14,4,1,0.10045535981298208,15.366306891333512
15,10,6,0.05644773090483247,24.98701310349781
16,3,5,0.0796649079323452,25.150757170230733
17,9,2,0.025708912823382998,12.316186468818358
18,4,2,0.10042120879665611,3.74367824082238
19,4,3,0.08911669148665197,27.445089636046266
